decision_tree_acc,decision_tree_prec,decision_tree_rec,jsm_classical_acc,jsm_classical_prec,jsm_classical_rec,jsm_dirac_acc,jsm_dirac_prec,jsm_dirac_rec,min_support,n_rules,runtime,date
0.901,0.813,0.953,0.743,0.596,0.969,N/A,N/A,N/A,0.8951839880699579,264,5.204877614974976,2025-09-27 14:32:25
0.906,0.944,0.797,0.789,0.649,0.953,N/A,N/A,N/A,0.8348494133242939,237,9.105297803878784,2025-09-27 14:32:34
0.936,0.908,0.922,0.865,0.773,0.906,N/A,N/A,N/A,0.8701621310739615,396,9.585283756256104,2025-09-27 14:32:43
0.901,0.873,0.859,0.883,0.855,0.828,N/A,N/A,N/A,0.6599421920241257,368,9.514995813369751,2025-09-27 14:32:53
0.901,0.862,0.875,0.801,0.788,0.641,N/A,N/A,N/A,0.71399840194958,231,8.456373929977417,2025-09-27 14:33:01
0.860,0.794,0.844,0.766,0.622,0.953,N/A,N/A,N/A,0.8892720823558227,275,6.338776350021362,2025-09-27 14:33:08
0.936,0.934,0.891,0.930,0.964,0.844,N/A,N/A,N/A,0.600755628224011,223,6.987030267715454,2025-09-27 14:33:15
0.947,0.910,0.953,0.772,0.626,0.969,N/A,N/A,N/A,0.8850938865379938,318,7.902678489685059,2025-09-27 14:33:23
0.877,0.841,0.828,0.673,0.534,0.969,N/A,N/A,N/A,0.7434520357998475,214,6.678821086883545,2025-09-27 14:33:29
0.906,,0.906,0.830,0.706,0.938,N/A,N/A,N/A,0.8957203742075488,281,7.648607015609741,2025-09-27 14:33:37
